"Time","L1","L2","L3"
2024-06-06 04:07:00,682,0.442,-0.247
2024-06-06 04:08:00,682,0.457,-0.245
2024-06-06 04:09:00,1.74 K,1.32 K,1.33 K
2024-06-06 04:10:00,1.74 K,1.34 K,1.32 K
2024-06-06 04:11:00,1.74 K,1.34 K,1.31 K
2024-06-06 04:12:00,1.74 K,1.34 K,1.32 K
2024-06-06 04:13:00,1.74 K,1.33 K,1.31 K
2024-06-06 04:14:00,1.73 K,1.32 K,1.30 K
2024-06-06 04:15:00,1.73 K,1.33 K,1.31 K
2024-06-06 04:16:00,1.73 K,1.33 K,1.31 K
2024-06-06 04:17:00,1.76 K,1.33 K,1.30 K
2024-06-06 04:18:00,1.77 K,1.33 K,1.30 K
2024-06-06 04:19:00,1.77 K,1.33 K,1.31 K
2024-06-06 04:20:00,1.75 K,1.32 K,1.29 K
2024-06-06 04:21:00,1.77 K,1.33 K,1.30 K
2024-06-06 04:22:00,1.77 K,1.34 K,1.30 K
2024-06-06 04:23:00,1.77 K,1.34 K,1.31 K
2024-06-06 04:24:00,1.30 K,844,827
2024-06-06 04:25:00,1.13 K,667,653
2024-06-06 04:26:00,1.13 K,672,657
2024-06-06 04:27:00,485,0.288,-0.299
2024-06-06 04:28:00,484,0.314,-0.392
2024-06-06 04:29:00,484,0.318,-0.379
2024-06-06 04:30:00,1.43 K,1.05 K,949
2024-06-06 04:31:00,1.43 K,838,752
2024-06-06 04:32:00,1.34 K,745,664
2024-06-06 04:33:00,1.35 K,760,674
2024-06-06 04:34:00,1.34 K,751,662
2024-06-06 04:35:00,1.29 K,730,643
2024-06-06 04:36:00,1.32 K,726,633
2024-06-06 04:37:00,1.32 K,719,642
2024-06-06 04:38:00,1.31 K,692,607
2024-06-06 04:39:00,1.27 K,687,611
2024-06-06 04:40:00,1.31 K,724,644
2024-06-06 04:41:00,1.29 K,703,628
2024-06-06 04:42:00,1.20 K,685,604
2024-06-06 04:43:00,1.26 K,675,601
2024-06-06 04:44:00,1.26 K,680,614
2024-06-06 04:45:00,1.28 K,699,637
2024-06-06 04:46:00,1.18 K,677,610
2024-06-06 04:47:00,1.17 K,671,607
2024-06-06 04:48:00,1.25 K,673,606
2024-06-06 04:49:00,1.25 K,673,608
2024-06-06 04:50:00,1.27 K,693,622
2024-06-06 04:51:00,1.26 K,681,613
2024-06-06 04:52:00,1.20 K,676,591
2024-06-06 04:53:00,1.23 K,671,598
2024-06-06 04:54:00,1.27 K,676,605
2024-06-06 04:55:00,1.24 K,647,589
2024-06-06 04:56:00,1.28 K,675,610
2024-06-06 04:57:00,1.28 K,668,603
2024-06-06 04:58:00,1.28 K,683,610
2024-06-06 04:59:00,1.27 K,663,591
2024-06-06 05:00:00,1.28 K,667,620
2024-06-06 05:01:00,1.28 K,665,611
2024-06-06 05:02:00,1.26 K,643,592
2024-06-06 05:03:00,1.26 K,670,612
2024-06-06 05:04:00,1.28 K,665,611
2024-06-06 05:05:00,1.29 K,670,615
2024-06-06 05:06:00,1.29 K,662,606
2024-06-06 05:07:00,1.30 K,671,610
2024-06-06 05:08:00,1.27 K,674,623
2024-06-06 05:09:00,1.26 K,678,621
2024-06-06 05:10:00,1.27 K,681,624
2024-06-06 05:11:00,1.27 K,679,621
2024-06-06 05:12:00,1.25 K,669,621
2024-06-06 05:13:00,1.21 K,669,613
2024-06-06 05:14:00,1.18 K,663,599
2024-06-06 05:15:00,1.17 K,670,610
2024-06-06 05:16:00,1.27 K,675,622
2024-06-06 05:17:00,680,0.417,-0.365
2024-06-06 05:18:00,684,0.489,-0.297
2024-06-06 05:19:00,680,0.476,-0.300
2024-06-06 05:20:00,685,0.471,-0.425
2024-06-06 05:21:00,684,0.443,-0.337
2024-06-06 05:22:00,685,0.442,-0.340
2024-06-06 05:23:00,684,0.448,-0.315
2024-06-06 05:24:00,1.22 K,654,598
2024-06-06 05:25:00,1.23 K,661,609
2024-06-06 05:26:00,1.25 K,686,636
2024-06-06 05:27:00,1.18 K,679,628
2024-06-06 05:28:00,1.25 K,678,637
2024-06-06 05:29:00,1.14 K,641,596
2024-06-06 05:30:00,1.18 K,673,626
2024-06-06 05:31:00,1.17 K,670,617
2024-06-06 05:32:00,1.17 K,664,617
2024-06-06 05:33:00,1.25 K,683,638
2024-06-06 05:34:00,1.25 K,678,629
2024-06-06 05:35:00,1.24 K,677,611
2024-06-06 05:36:00,685,0.428,-0.0378
2024-06-06 05:37:00,684,0.469,-0.0482
2024-06-06 05:38:00,669,0.498,-0.0519
2024-06-06 05:39:00,677,0.487,-0.0547
2024-06-06 05:40:00,675,0.460,-0.0566
2024-06-06 05:41:00,677,0.492,-0.0521
2024-06-06 05:42:00,681,0.454,-0.138
2024-06-06 05:43:00,682,0.446,-0.133
2024-06-06 05:44:00,1.20 K,671,611
2024-06-06 05:45:00,1.22 K,665,604
2024-06-06 05:46:00,1.28 K,727,657
2024-06-06 05:47:00,1.25 K,700,625
2024-06-06 05:48:00,1.16 K,685,611
2024-06-06 05:49:00,1.20 K,705,621
2024-06-06 05:50:00,1.19 K,679,627
2024-06-06 05:51:00,1.26 K,683,632
2024-06-06 05:52:00,1.27 K,695,645
2024-06-06 05:53:00,1.25 K,669,624
2024-06-06 05:54:00,1.26 K,677,632
2024-06-06 05:55:00,691,0.403,0.0312
2024-06-06 05:56:00,688,0.388,0.0370
2024-06-06 05:57:00,686,0.396,0.0381
2024-06-06 05:58:00,684,0.347,-0.258
2024-06-06 05:59:00,683,0.356,-0.262
2024-06-06 06:00:00,683,0.409,0.0311
2024-06-06 06:01:00,683,0.345,0.145
2024-06-06 06:02:00,685,0.364,0.155
2024-06-06 06:03:00,1.25 K,667,639
2024-06-06 06:04:00,1.46 K,667,653
2024-06-06 06:05:00,2.05 K,1.41 K,1.37 K
2024-06-06 06:06:00,1.91 K,1.27 K,1.23 K
2024-06-06 06:07:00,1.48 K,684,661
2024-06-06 06:08:00,1.50 K,681,616
2024-06-06 06:09:00,1.40 K,663,602
